state,statefips,countyfips,county,latino_cvap_2020,latino_voted_2020,latino_turnout_2020_cvap,avg24_residual
VA,51,125,Nelson County,340,61,.17941177,-.31546187
CO,8,27,Custer County,365,59,.16164383,-.30552262
IA,19,137,Montgomery County,220,32,.14545454,-.26191738
IA,19,5,Allamakee County,270,44,.16296296,-.25966257
ND,38,53,McKenzie County,715,65,.090909094,-.25598145
FL,12,119,Sumter County,4915,1306,.26571718,-.24541847
MN,27,91,Martin County,550,107,.19454545,-.24204525
MN,27,93,Meeker County,400,85,.21250001,-.23794988
WI,55,113,Sawyer County,285,68,.23859648,-.22989832
NE,31,99,Kearney County,180,31,.17222223,-.22968471
TX,48,155,Foard County,160,30,.1875,-.22371422
NH,33,7,Coos County,470,93,.19787234,-.22504146
FL,12,37,Franklin County,425,45,.10588235,-.22235125
VA,51,610,Falls Church city,850,464,.54588234,-.21685462
AR,5,65,Izard County,265,24,.090566039,-.21902698
IL,17,187,Warren County,780,172,.22051282,-.21625805
SD,46,5,Beadle County,430,72,.16744186,-.21698573
WA,53,59,Skamania County,395,111,.28101265,-.21427248
MI,26,33,Chippewa County,450,82,.18222222,-.21202874
MD,24,29,Kent County,390,85,.21794872,-.21475972
SD,46,35,Davison County,265,37,.13962264,-.21408717
NY,36,31,Essex County,800,193,.24124999,-.21125519
ND,38,61,Mountrail County,405,71,.17530864,-.2081168
NC,37,55,Dare County,840,196,.23333333,-.20367053
FL,12,65,Jefferson County,445,89,.2,-.20089702
MA,25,3,Berkshire County,3850,1248,.32415584,-.20323105
TX,48,17,Bailey County,2460,408,.16585366,-.20160958
WI,55,13,Burnett County,150,41,.27333334,-.20021409
CA,6,105,Trinity County,615,153,.24878049,-.19908424
KS,20,151,Pratt County,375,72,.192,-.19903886
ID,16,41,Franklin County,415,77,.18554217,-.19458647
SD,46,13,Brown County,645,123,.19069767,-.19757399
VA,51,820,Waynesboro city,830,185,.22289157,-.19133684
WI,55,99,Price County,235,66,.28085107,-.19393367
MO,29,29,Camden County,500,98,.19599999,-.19381268
UT,49,51,Wasatch County,1605,434,.27040499,-.19463392
NC,37,173,Swain County,255,35,.13725491,-.19088265
IA,19,197,Wright County,540,123,.22777778,-.19146834
NC,37,149,Polk County,520,120,.23076923,-.19114394
IN,18,133,Putnam County,560,85,.15178572,-.18782227
IA,19,143,Osceola County,125,27,.21600001,-.18381456
TX,48,333,Mills County,595,108,.18151261,-.18135099
MD,24,19,Dorchester County,730,128,.17534247,-.18217294
FL,12,13,Calhoun County,450,42,.093333334,-.18096326
MN,27,21,Cass County,365,104,.28493151,-.1803879
NE,31,97,Johnson County,305,60,.19672132,-.18041646
TN,47,123,Monroe County,1045,71,.067942582,-.18381861
UT,49,43,Summit County,1385,530,.38267148,-.18305376
WV,54,65,Morgan County,185,39,.21081081,-.1779132
NC,37,53,Currituck County,615,110,.17886178,-.17543995
TN,47,145,Roane County,610,72,.11803278,-.17972085
MO,29,95,Jackson County,28285,5734,.2027223,-.17234302
KY,21,211,Shelby County,1575,308,.19555555,-.17398289
TN,47,51,Franklin County,725,81,.11172414,-.17783423
TN,47,105,Loudon County,1520,257,.16907895,-.17794666
VA,51,35,Carroll County,425,98,.23058824,-.16529873
TX,48,87,Collingsworth County,510,70,.13725491,-.16766812
CA,6,51,Mono County,1765,584,.3308782,-.17003371
VT,50,15,Lamoille County,260,100,.38461539,-.16428006
AR,5,141,Van Buren County,255,32,.1254902,-.16916601
MN,27,19,Carver County,2010,816,.40597016,-.16366555
SC,45,69,Marlboro County,510,19,.037254903,-.16604592
SD,46,33,Custer County,165,39,.23636363,-.16641799
SC,45,13,Beaufort County,8090,1824,.22546354,-.1671768
NC,37,15,Bertie County,310,31,.1,-.16122638
IN,18,177,Wayne County,965,172,.17823835,-.16233322
GA,13,91,Dodge County,400,35,.087499999,-.15892079
TN,47,45,Dyer County,545,46,.084403671,-.16399676
IL,17,39,De Witt County,240,67,.27916667,-.15868621
GA,13,101,Echols County,695,52,.074820146,-.15718809
MS,28,1,Adams County,1600,64,.039999999,-.1571444
UT,49,57,Weber County,22455,4942,.22008461,-.15995584
MI,26,137,Otsego County,270,78,.2888889,-.15433352
NE,31,173,Thurston County,145,32,.22068965,-.15314455
TX,48,421,Sherman County,545,120,.22018349,-.15249175
IA,19,141,O'Brien County,285,69,.24210526,-.15341212
NC,37,139,Pasquotank County,1200,179,.14916667,-.15278155
IA,19,53,Decatur County,140,24,.17142858,-.15360953
MN,27,117,Pipestone County,175,48,.2742857,-.15145636
IA,19,179,Wapello County,1690,373,.22071005,-.15348254
TN,47,185,White County,445,42,.094382025,-.15726614
TN,47,31,Coffee County,820,120,.14634146,-.1563495
VA,51,79,Greene County,570,184,.32280701,-.14872032
NY,36,33,Franklin County,1240,287,.23145162,-.15158996
OR,41,7,Clatsop County,1585,538,.33943218,-.151265
KY,21,97,Harrison County,235,44,.18723404,-.15248497
NJ,34,33,Salem County,3295,1044,.31684369,-.14710167
KS,20,203,Wichita County,255,64,.25098041,-.15035522
FL,12,7,Bradford County,975,141,.14461538,-.14858317
UT,49,35,Salt Lake County,84350,25818,.3060818,-.15244254
TN,47,79,Henry County,440,51,.11590909,-.15357144
SC,45,81,Saluda County,925,116,.1254054,-.15043883
IL,17,137,Morgan County,535,135,.25233644,-.14721595
MN,27,89,Marshall County,235,73,.31063831,-.14695814
MS,28,79,Leake County,320,10,.03125,-.14722995
OH,39,167,Washington County,410,94,.2292683,-.14459668
MO,29,9,Barry County,1295,235,.18146718,-.14388005
MS,28,163,Yazoo County,930,27,.029032258,-.14539555
RI,44,5,Newport County,2920,1094,.37465754,-.14599177
MN,27,119,Polk County,1235,368,.29797572,-.14254221
TN,47,63,Hamblen County,1955,239,.12225064,-.14611028
NV,32,15,Lander County,750,216,.28799999,-.13979426
IL,17,89,Kane County,72295,29223,.40421882,-.14209585
VA,51,159,Richmond County,255,66,.25882354,-.13769148
MS,28,3,Alcorn County,575,41,.071304351,-.1436455
TN,47,163,Sullivan County,1455,218,.14982818,-.14439821
IL,17,183,Vermilion County,2040,514,.25196078,-.13852231
GA,13,295,Walker County,955,144,.15078534,-.13953345
CO,8,113,San Miguel County,360,179,.49722221,-.13774019
TX,48,403,Sabine County,280,51,.18214285,-.13691022
IN,18,43,Floyd County,1265,353,.27905139,-.13933705
VA,51,155,Pulaski County,300,88,.29333332,-.13569984
CO,8,37,Eagle County,6420,3043,.47398755,-.13726726
AR,5,127,Scott County,480,53,.11041667,-.1401881
IL,17,15,Carroll County,365,106,.29041097,-.13854852
IA,19,45,Clinton County,700,203,.28999999,-.13874002
UT,49,11,Davis County,17605,5106,.29003125,-.13969696
AR,5,57,Hempstead County,720,98,.13611111,-.13801202
ID,16,81,Teton County,660,252,.38181818,-.13558556
TX,48,1,Anderson County,6330,1145,.18088467,-.13327028
TN,47,3,Bedford County,1940,257,.13247423,-.14096029
TX,48,197,Hardeman County,475,98,.20631579,-.13364133
TN,47,177,Warren County,1050,124,.11809524,-.13990028
KS,20,189,Stevens County,990,198,.2,-.13532487
NC,37,7,Anson County,430,53,.12325581,-.13337144
WI,55,95,Polk County,425,139,.32705882,-.13280004
NE,31,35,Clay County,225,55,.24444444,-.13360888
CO,8,43,Fremont County,4870,1398,.28706366,-.13126074
CO,8,49,Grand County,810,308,.38024691,-.13161962
UT,49,27,Millard County,560,115,.20535715,-.13485973
LA,22,77,Pointe Coupee Parish,315,34,.10793651,-.135497
MN,27,7,Beltrami County,535,151,.28224298,-.13137287
NC,37,31,Carteret County,1400,351,.25071427,-.13307863
LA,22,85,Sabine Parish,615,43,.0699187,-.13517112
IA,19,19,Buchanan County,190,57,.30000001,-.13351387
FL,12,123,Taylor County,645,90,.13953489,-.13051283
TX,48,207,Haskell County,850,152,.17882353,-.13193227
TN,47,155,Sevier County,1595,203,.12727273,-.13595738
NC,37,115,Madison County,365,85,.23287672,-.13230878
IN,18,37,Dubois County,965,291,.30155441,-.13187382
OH,39,141,Ross County,570,125,.21929824,-.12923601
NY,36,61,New York County,267830,117031,.43696001,-.13330242
NC,37,19,Brunswick County,2920,826,.2828767,-.13063817
NC,37,11,Avery County,345,55,.1594203,-.12882476
MN,27,85,McLeod County,910,284,.31208792,-.12706169
KY,21,81,Grant County,330,56,.16969697,-.1283612
MI,26,133,Osceola County,260,70,.26923078,-.12514445
TX,48,205,Hartley County,840,201,.23928571,-.12549415
GA,13,53,Chattahoochee County,1220,62,.050819673,-.12822443
FL,12,125,Union County,650,94,.14461538,-.12567806
GA,13,305,Wayne County,945,110,.11640212,-.12548798
MN,27,127,Redwood County,285,87,.30526316,-.12532227
IA,19,67,Floyd County,305,85,.27868852,-.12708628
SD,46,109,Roberts County,280,74,.26428571,-.12659763
OK,40,59,Harper County,205,44,.21463415,-.12360679
LA,22,121,West Baton Rouge Parish,575,69,.12,-.12665994
IL,17,165,Saline County,255,62,.24313726,-.12313787
NC,37,39,Cherokee County,450,100,.22222222,-.1238496
TX,48,243,Jeff Davis County,505,196,.3881188,-.12349548
TX,48,137,Edwards County,735,233,.3170068,-.1234927
LA,22,43,Grant Parish,650,41,.063076921,-.12376773
MO,29,71,Franklin County,970,267,.27525774,-.121958
MS,28,59,Jackson County,5535,659,.11906052,-.12511304
TN,47,43,Dickson County,875,135,.15428571,-.12604971
HI,15,1,Hawaii County,14365,4989,.34730247,-.12736277
KS,20,99,Labette County,575,138,.23999999,-.12104159
AR,5,149,Yell County,1400,268,.19142857,-.12346323
CO,8,95,Phillips County,435,134,.30804598,-.11830439
WY,56,31,Platte County,555,110,.1981982,-.12415836
MD,24,15,Cecil County,2335,702,.3006424,-.12123131
SD,46,11,Brookings County,525,106,.20190476,-.12084442
NM,35,28,Los Alamos County,2385,1326,.55597484,-.12015945
IA,19,127,Marshall County,3095,985,.31825525,-.1204676
VA,51,149,Prince George County,2070,632,.305314,-.11604899
FL,12,63,Jackson County,1330,240,.18045112,-.11648043
OR,41,37,Lake County,320,81,.25312501,-.11614086
KY,21,157,Marshall County,320,80,.25,-.11831057
TN,47,109,McNairy County,355,34,.095774651,-.12141206
VA,51,43,Clarke County,460,181,.39347827,-.11508713
TN,47,167,Tipton County,990,130,.13131313,-.12104446
TN,47,117,Marshall County,675,111,.16444445,-.12085548
OH,39,117,Morrow County,405,106,.26172841,-.11523934
IA,19,95,Iowa County,255,80,.3137255,-.11661911
MD,24,41,Talbot County,775,292,.37677419,-.11716048
WY,56,37,Sweetwater County,3490,715,.20487106,-.11891367
TX,48,75,Childress County,1525,169,.11081968,-.11466682
CO,8,117,Summit County,1555,710,.45659164,-.1145564
MS,28,73,Lamar County,700,84,.12,-.11794493
IA,19,145,Page County,310,84,.27096775,-.11541048
AL,1,3,Baldwin County,4435,836,.18850057,-.11829523
IN,18,17,Cass County,1875,473,.25226668,-.11495715
IN,18,27,Daviess County,460,82,.17826086,-.11453065
NM,35,59,Union County,1340,311,.23208955,-.11186878
IA,19,155,Pottawattamie County,3340,1030,.30838323,-.11452901
IL,17,121,Marion County,445,117,.26292136,-.11282617
IA,19,193,Woodbury County,7440,2100,.28225806,-.11340883
KS,20,67,Grant County,1400,364,.25999999,-.1135326
GA,13,299,Ware County,880,111,.12613636,-.1109509
IN,18,87,LaGrange County,620,101,.16290322,-.11453591
KS,20,135,Ness County,100,29,.28999999,-.11149899
TX,48,69,Castro County,2460,652,.26504064,-.1123292
MS,28,137,Tate County,340,27,.079411767,-.11432638
CT,9,15,Windham County,8210,2806,.34177831,-.11334039
SC,45,25,Chesterfield County,790,102,.12911393,-.11197358
IA,19,37,Chickasaw County,100,34,.34,-.11187815
AR,5,11,Bradley County,515,81,.15728155,-.11174843
IL,17,17,Cass County,690,213,.30869564,-.11019336
TN,47,147,Robertson County,1295,254,.19613899,-.11435512
MD,24,1,Allegany County,890,197,.22134832,-.1102773
VA,51,165,Rockingham County,2420,843,.3483471,-.10594295
KY,21,101,Henderson County,530,131,.24716981,-.11071383
WY,56,21,Laramie County,9015,1999,.22174154,-.11360295
VA,51,199,York County,2865,1245,.43455496,-.10677711
NC,37,5,Alleghany County,390,93,.23846154,-.10961769
IN,18,39,Elkhart County,11765,3109,.26425838,-.10954416
GA,13,251,Screven County,190,25,.13157895,-.10843788
MS,28,95,Monroe County,280,28,.1,-.11105311
LA,22,113,Vermilion Parish,1015,125,.12315271,-.11148874
MO,29,133,Mississippi County,120,18,.15000001,-.1070729
FL,12,77,Liberty County,250,34,.13600001,-.10703761
MS,28,87,Lowndes County,720,78,.10833333,-.11011762
NC,37,175,Transylvania County,420,121,.28809524,-.10882784
IL,17,97,Lake County,65975,31345,.47510421,-.1078356
IL,17,115,Macon County,1190,360,.30252102,-.10596986
GA,13,173,Lanier County,595,60,.10084034,-.10529232
TN,47,89,Jefferson County,660,105,.15909091,-.11147266
KY,21,125,Laurel County,560,94,.16785714,-.1057586
NY,36,45,Jefferson County,5200,1196,.23,-.10603393
NH,33,11,Hillsborough County,14715,5787,.39327216,-.10782291
HI,15,3,Honolulu County,60030,22024,.36688322,-.1115323
MN,27,153,Todd County,470,143,.30425531,-.10377007
VA,51,13,Arlington County,18130,10057,.55471593,-.10434243
UT,49,45,Tooele County,4680,1362,.29102564,-.10716125
IA,19,175,Union County,190,52,.2736842,-.10458867
WI,55,121,Trempealeau County,425,163,.38352942,-.10219581
TN,47,131,Obion County,545,79,.14495413,-.10803775
PA,42,67,Juniata County,375,98,.26133335,-.10188653
GA,13,163,Jefferson County,210,28,.13333334,-.10149372
MI,26,143,Roscommon County,340,112,.32941177,-.10274497
MS,28,121,Rankin County,1800,316,.17555556,-.10579108
KY,21,21,Boyle County,445,101,.22696629,-.10336232
TN,47,73,Hawkins County,425,63,.14823529,-.10615028
GA,13,93,Dooly County,235,32,.13617021,-.10054947
SC,45,49,Hampton County,305,37,.12131148,-.10311531
NC,37,187,Washington County,190,34,.17894737,-.10002141
TN,47,9,Blount County,1705,374,.21935484,-.10641622
NE,31,179,Wayne County,305,71,.23278688,-.10058775
NY,36,109,Tompkins County,3830,1292,.33733681,-.10294507
SC,45,75,Orangeburg County,990,129,.13030303,-.10194533
TX,48,177,Gonzales County,5295,1462,.27610955,-.10101733
TN,47,183,Weakley County,425,51,.12,-.10498549
TX,48,389,Reeves County,6820,1763,.25850439,-.10167708
NC,37,199,Yancey County,260,70,.26923078,-.10094188
NC,37,91,Hertford County,305,52,.1704918,-.099199884
AR,5,69,Jefferson County,800,117,.14624999,-.10073077
IA,19,41,Clay County,280,90,.32142857,-.099378645
ME,23,15,Lincoln County,295,116,.39322034,-.099394917
NM,35,49,Santa Fe County,48300,25443,.52677017,-.10073615
GA,13,241,Rabun County,465,104,.22365591,-.10027938
NH,33,15,Rockingham County,5975,2617,.43799162,-.10082178
TX,48,383,Reagan County,1400,344,.24571429,-.09968131
TN,47,165,Sumner County,3575,846,.23664336,-.10314389
IN,18,151,Steuben County,565,167,.29557523,-.099815041
TX,48,253,Jones County,3900,819,.20999999,-.09779916
AL,1,5,Barbour County,405,28,.0691358,-.10089014
KS,20,119,Meade County,330,78,.23636363,-.09759295
CO,8,25,Crowley County,1485,261,.17575757,-.096298635
TN,47,1,Anderson County,885,192,.21694915,-.10243586
KY,21,17,Bourbon County,270,70,.25925925,-.097952649
AR,5,29,Conway County,300,59,.19666667,-.098918907
SC,45,37,Edgefield County,560,95,.16964285,-.099240035
KS,20,57,Ford County,6255,1792,.2864908,-.098025069
MN,27,101,Murray County,110,41,.37272727,-.0970212
KS,20,155,Reno County,3220,941,.29223603,-.097265974
MS,28,83,Leflore County,370,24,.064864866,-.095951475
OK,40,93,Major County,260,62,.23846154,-.096247748
MD,24,9,Calvert County,2345,874,.3727079,-.097736381
WA,53,3,Asotin County,540,174,.32222223,-.095274359
AR,5,5,Baxter County,630,149,.23650794,-.099417008
MO,29,113,Lincoln County,745,200,.26845637,-.094940916
AZ,4,12,La Paz County,3220,893,.27732921,-.094583273
TX,48,335,Mitchell County,2410,451,.18713693,-.095049776
PA,42,29,Chester County,16240,7846,.48312807,-.094047122
HI,15,9,Maui County,10375,4175,.40240964,-.10112542
SC,45,85,Sumter County,2280,342,.15000001,-.095661029
MS,28,89,Madison County,750,186,.248,-.096916467
OH,39,101,Marion County,915,229,.25027323,-.093233183
MO,29,169,Pulaski County,4210,551,.13087887,-.094303295
NC,37,87,Haywood County,1140,338,.29649124,-.094806425
AL,1,31,Coffee County,2105,308,.14631829,-.097360581
TX,48,453,Travis County,219095,97207,.44367513,-.09333995
TX,48,93,Comanche County,1905,562,.29501313,-.092535995
MS,28,81,Lee County,695,93,.13381295,-.094777003
AR,5,33,Crawford County,2205,428,.19410431,-.094844103
MI,26,47,Emmet County,400,159,.39750001,-.091448873
SD,46,101,Moody County,85,26,.30588236,-.094306566
OH,39,97,Madison County,400,119,.29750001,-.090972662
LA,22,9,Avoyelles Parish,525,58,.11047619,-.093805619
NE,31,185,York County,360,106,.29444444,-.090313412
ND,38,105,Williams County,1470,356,.24217688,-.092543297
KY,21,37,Campbell County,1045,303,.28995216,-.092747167
MI,26,109,Menominee County,260,91,.34999999,-.089889608
UT,49,49,Utah County,30105,7896,.26228201,-.09192165
GA,13,161,Jeff Davis County,940,110,.11702128,-.090091012
AR,5,55,Greene County,640,124,.19374999,-.09328118
MS,28,109,Pearl River County,1060,126,.11886793,-.094239742
MN,27,131,Rice County,2045,758,.37066016,-.090449989
OK,40,85,Love County,690,160,.23188406,-.091500036
NC,37,89,Henderson County,4110,1397,.33990267,-.090759166
MS,28,107,Panola County,265,25,.094339624,-.091963105
TX,48,147,Fannin County,1930,529,.27409327,-.088156112
MO,29,219,Warren County,675,206,.3051852,-.090736613
ID,16,31,Cassia County,2690,719,.26728624,-.088000685
MS,28,123,Scott County,875,78,.089142859,-.090670124
MS,28,33,DeSoto County,3690,683,.18509485,-.09270943
OK,40,127,Pushmataha County,250,46,.184,-.08989349
NC,37,49,Craven County,3670,870,.23705722,-.089482814
CO,8,13,Boulder County,23845,12866,.53956807,-.088455535
TX,48,305,Lynn County,1815,478,.26336089,-.089201443
WI,55,137,Waushara County,735,264,.35918367,-.088352926
OR,41,67,Washington County,43335,20902,.4823353,-.088510059
TX,48,111,Dallam County,1315,305,.23193917,-.088598885
UT,49,5,Cache County,5765,1420,.24631396,-.090608463
AL,1,67,Henry County,270,35,.12962963,-.093009129
NY,36,115,Washington County,1130,346,.30619469,-.089451715
OK,40,117,Pawnee County,330,73,.22121212,-.088741384
IA,19,149,Plymouth County,425,147,.34588236,-.08926259
OK,40,41,Delaware County,715,163,.22797203,-.088788003
LA,22,7,Assumption Parish,340,41,.12058824,-.091987088
WY,56,43,Washakie County,665,148,.2225564,-.092392877
AL,1,7,Bibb County,230,23,.1,-.090367913
UT,49,53,Washington County,8260,2101,.25435835,-.090063684
WI,55,47,Green Lake County,480,167,.34791666,-.08623904
FL,12,49,Hardee County,6390,1468,.22973396,-.08801049
MA,25,27,Worcester County,57010,23791,.41731274,-.088120595
KS,20,75,Hamilton County,280,68,.24285714,-.087509453
IN,18,143,Scott County,385,96,.24935065,-.087594666
MA,25,13,Hampden County,77250,27495,.35592234,-.08800707
NC,37,125,Moore County,2515,849,.33757454,-.086726502
GA,13,147,Hart County,400,81,.2025,-.08640793
LA,22,75,Plaquemines Parish,1070,177,.16542056,-.089724511
OH,39,77,Huron County,1970,595,.30203044,-.085422873
FL,12,47,Hamilton County,665,105,.15789473,-.085218206
MI,26,15,Barry County,1080,410,.37962964,-.085032448
OH,39,99,Mahoning County,9550,3061,.32052356,-.085367501
WI,55,49,Iowa County,205,93,.45365855,-.084581442
WY,56,7,Carbon County,1475,325,.22033899,-.088720895
KS,20,21,Cherokee County,290,78,.26896551,-.083843261
NC,37,47,Columbus County,915,159,.17377049,-.082738541
GA,13,123,Gilmer County,1250,308,.2464,-.085003287
CT,9,3,Hartford County,100690,43085,.42789751,-.085807279
TN,47,187,Williamson County,5005,1980,.3956044,-.08790686
TX,48,153,Floyd County,1950,558,.28615385,-.083497763
AL,1,33,Colbert County,655,106,.16183206,-.086751722
MO,29,135,Moniteau County,420,108,.25714287,-.082891524
NC,37,121,Mitchell County,255,64,.25098041,-.083040036
OR,41,9,Columbia County,1730,675,.39017341,-.082300559
TX,48,373,Polk County,3950,1051,.26607594,-.080922671
OK,40,47,Garfield County,3350,761,.22716418,-.081574559
NY,36,73,Orleans County,1180,319,.27033898,-.08194074
IA,19,171,Tama County,635,226,.3559055,-.082775109
KS,20,61,Geary County,3220,665,.20652173,-.080755748
SC,45,33,Dillon County,360,30,.083333336,-.081603721
TX,48,411,San Saba County,945,243,.25714287,-.080097094
KS,20,103,Leavenworth County,3515,1264,.35960171,-.081324883
KY,21,121,Knox County,215,34,.15813954,-.080303758
MN,27,27,Clay County,1590,588,.36981133,-.080467977
KS,20,115,Marion County,295,93,.31525424,-.080663987
FL,12,15,Charlotte County,8825,3299,.37382436,-.082717836
CO,8,67,La Plata County,4685,2271,.48473853,-.079488263
TX,48,57,Calhoun County,6420,2043,.31822431,-.081630073
NY,36,69,Ontario County,2950,1127,.38203388,-.081374802
LA,22,99,St. Martin Parish,630,92,.14603175,-.082595311
NY,36,77,Otsego County,1535,475,.30944625,-.081399478
FL,12,85,Martin County,10270,4119,.40107107,-.081164837
MO,29,187,St. Francois County,545,138,.25321102,-.079799064
KY,21,209,Scott County,770,241,.312987,-.080071285
WV,54,81,Raleigh County,955,254,.26596859,-.078122735
PA,42,69,Lackawanna County,8055,2858,.35481068,-.078716576
MS,28,139,Tippah County,500,55,.11,-.08169955
PA,42,79,Luzerne County,18410,6112,.33199349,-.077708818
CO,8,75,Logan County,2395,760,.31732777,-.075023517
MN,27,5,Becker County,300,112,.37333333,-.078256227
WY,56,29,Park County,1100,295,.26818183,-.082491688
NH,33,13,Merrimack County,2175,905,.41609195,-.080315217
KS,20,169,Saline County,3010,953,.31661129,-.077378981
TN,47,93,Knox County,7395,1836,.24827586,-.081950754
WA,53,29,Island County,4175,1728,.41389221,-.078116558
MO,29,159,Pettis County,1200,305,.25416666,-.075761303
IL,17,199,Williamson County,1085,355,.32718894,-.075685456
GA,13,257,Stephens County,455,89,.1956044,-.076377228
NY,36,65,Oneida County,8215,2588,.31503347,-.076308303
FL,12,33,Escambia County,11520,3180,.27604166,-.075314686
IA,19,63,Emmet County,355,116,.32676056,-.077831797
OK,40,101,Muskogee County,1800,396,.22,-.075308055
AL,1,1,Autauga County,840,149,.17738095,-.078712292
WI,55,119,Taylor County,120,45,.375,-.072972216
CT,9,5,Litchfield County,6350,2848,.44850394,-.07737115
NC,37,13,Beaufort County,1180,306,.25932205,-.07460662
SD,46,27,Clay County,330,76,.23030303,-.077768698
NE,31,141,Platte County,2300,751,.32652172,-.074383259
FL,12,113,Santa Rosa County,6600,2120,.32121211,-.074846022
LA,22,1,Acadia Parish,780,99,.12692308,-.076957256
FL,12,29,Dixie County,360,78,.21666667,-.07481508
MI,26,103,Marquette County,670,253,.37761194,-.074444287
KY,21,83,Graves County,930,234,.2516129,-.074333295
CO,8,109,Saguache County,1565,630,.40255591,-.073116705
MT,30,87,Rosebud County,310,108,.34838709,-.073655777
LA,22,83,Richland Parish,380,36,.094736844,-.076777481
NM,35,35,Otero County,14820,4920,.3319838,-.072137192
TN,47,143,Rhea County,455,73,.16043957,-.077293344
AZ,4,21,Pinal County,80475,28805,.35793725,-.072726078
OH,39,175,Wyandot County,430,136,.31627908,-.071914621
MT,30,57,Madison County,195,69,.35384616,-.073513523
WI,55,31,Douglas County,395,159,.40253165,-.071799226
FL,12,115,Sarasota County,21825,9514,.43592212,-.074558452
AR,5,143,Washington County,14475,3669,.25347149,-.074748248
GA,13,317,Wilkes County,110,21,.19090909,-.070261009
MA,25,9,Essex County,83785,39027,.46579936,-.073192507
AL,1,121,Talladega County,655,88,.13435115,-.074371442
MN,27,79,Le Sueur County,710,277,.39014083,-.071322694
CO,8,31,Denver County,110040,54265,.49313885,-.070575178
VA,51,111,Lunenburg County,160,49,.30625001,-.06679675
KS,20,35,Cowley County,1950,557,.28564101,-.071525894
AL,1,45,Dale County,1840,211,.11467391,-.07487122
ND,38,67,Pembina County,125,41,.32800001,-.073205262
TX,48,275,Knox County,655,191,.29160306,-.070614241
GA,13,83,Dade County,200,41,.205,-.071611308
AZ,4,15,Mohave County,21450,6973,.32508159,-.069870174
PA,42,83,McKean County,580,179,.30862069,-.069174096
OR,41,51,Multnomah County,45185,21710,.4804692,-.070244789
LA,22,119,Webster Parish,435,45,.10344828,-.072378479
MS,28,47,Harrison County,6020,827,.13737541,-.073476955
LA,22,45,Iberia Parish,1375,211,.15345454,-.072710007
MS,28,99,Neshoba County,165,19,.11515152,-.071815915
LA,22,57,Lafourche Parish,1680,284,.16904762,-.072536238
IL,17,201,Winnebago County,16345,6126,.37479353,-.069326572
TX,48,415,Scurry County,4205,1205,.28656361,-.069053948
MI,26,129,Ogemaw County,290,97,.33448276,-.068636492
TX,48,399,Runnels County,2280,660,.28947368,-.06820105
NY,36,107,Tioga County,600,219,.36500001,-.07014595
MD,24,11,Caroline County,645,189,.29302326,-.068934761
IN,18,95,Madison County,2030,589,.29014778,-.069646277
LA,22,19,Calcasieu Parish,3865,691,.17878395,-.071769029
IL,17,155,Putnam County,210,81,.38571429,-.070575722
MO,29,165,Platte County,3880,1591,.41005155,-.069263957
PA,42,75,Lebanon County,11125,3796,.34121349,-.068661086
TX,48,221,Hood County,4245,1447,.3408716,-.067846417
NC,37,33,Caswell County,435,113,.25977013,-.067916103
NY,36,55,Monroe County,41855,15497,.37025446,-.068410903
TX,48,99,Coryell County,9135,2212,.2421456,-.066796325
WI,55,105,Rock County,5595,2333,.41697943,-.066150151
MI,26,75,Jackson County,3465,1269,.36623377,-.065654442
GA,13,119,Franklin County,530,91,.17169811,-.067143962
IA,19,17,Bremer County,240,94,.39166668,-.068918981
TX,48,329,Midland County,40570,13247,.32652205,-.066799864
CA,6,85,Santa Clara County,245380,136327,.55557501,-.068174861
TX,48,467,Van Zandt County,3175,936,.29480314,-.065580435
AL,1,97,Mobile County,6520,1056,.16196319,-.069750555
AR,5,131,Sebastian County,7015,1494,.21297221,-.068706252
GA,13,187,Lumpkin County,890,190,.21348314,-.06726338
AR,5,139,Union County,535,103,.19252336,-.067303307
GA,13,105,Elbert County,500,86,.17200001,-.065829799
TX,48,123,DeWitt County,4570,1385,.30306345,-.065535612
MO,29,39,Cedar County,160,39,.24375001,-.066644654
CA,6,41,Marin County,16300,10687,.65564418,-.067842692
LA,22,15,Bossier Parish,4305,787,.18281068,-.068627492
MN,27,49,Goodhue County,535,223,.41682243,-.064914592
NM,35,9,Curry County,11170,3224,.28863025,-.062961884
NC,37,133,Onslow County,16440,2631,.16003649,-.06575194
OK,40,57,Harmon County,455,119,.26153848,-.066204049
IA,19,61,Dubuque County,1175,461,.39234042,-.066257372
FL,12,129,Wakulla County,725,231,.31862068,-.065026216
ND,38,97,Traill County,150,52,.34666666,-.067336425
TN,47,11,Bradley County,2555,497,.19452055,-.068764813
VA,51,183,Sussex County,190,57,.30000001,-.059444979
TX,48,203,Harrison County,3495,988,.28268957,-.061141472
MO,29,223,Wayne County,160,36,.22499999,-.063053906
PA,42,121,Venango County,365,120,.32876712,-.063038014
FL,12,131,Walton County,2170,712,.32811061,-.062668979
NE,31,41,Custer County,115,35,.30434781,-.061007172
AR,5,7,Benton County,16690,5146,.30832833,-.065394513
MN,27,129,Renville County,540,207,.38333333,-.063131638
TX,48,413,Schleicher County,925,281,.30378377,-.063244365
WI,55,19,Clark County,340,118,.34705883,-.060684081
ME,23,29,Washington County,415,146,.35180724,-.061564088
KY,21,49,Clark County,420,126,.30000001,-.063269421
SC,45,79,Richland County,11145,2585,.23194258,-.064583033
